id,price
54273,26433.17
54274,16428.232
54275,31653.02
54276,48358.16
54277,28709.795
54278,69486.49
54279,40476.65
54280,32341.535
54281,12755.188
54282,57999.477
54283,32851.28
54284,13316.998
54285,41820.938
54286,33183.566
54287,38165.25
54288,66941.04
54289,74876.02
54290,31345.383
54291,13694.803
54292,74124.82
54293,33054.258
54294,14083.849
54295,37234.645
54296,62877.008
54297,21455.389
54298,15302.912
54299,16960.36
54300,36280.57
54301,57256.5
54302,46684.492
54303,47638.957
54304,44653.203
54305,57701.83
54306,30500.45
54307,29424.957
54308,7909.0454
54309,20693.863
54310,13363.945
54311,66419.02
54312,14778.001
54313,16838.729
54314,58584.633
54315,80487.75
54316,18315.451
54317,35372.23
54318,51925.33
54319,11657.495
54320,49264.61
54321,42555.14
54322,10357.679
54323,29530.123
54324,54369.87
54325,67568.766
54326,15999.141
54327,49112.617
54328,18400.326
54329,48455.707
54330,14863.909
54331,60180.695
54332,15601.581
54333,59025.14
54334,36883.38
54335,25212.82
54336,20257.78
54337,9551.0625
54338,55644.3
54339,69184.31
54340,9218.453
54341,79184.53
54342,56012.574
54343,14992.194
54344,48638.63
54345,12696.921
54346,37826.484
54347,14656.23
54348,28816.006
54349,21445.342
54350,79482.33
54351,16969.0
54352,41417.598
54353,67449.14
54354,33810.375
54355,10987.516
54356,52484.227
54357,51951.934
54358,44151.074
54359,10085.653
54360,42226.51
54361,60224.445
54362,73858.375
54363,80895.3
54364,13140.167
54365,20389.889
54366,80364.49
54367,18071.814
54368,21735.041
54369,20907.586
54370,23258.705
54371,29822.164
54372,27466.941
54373,47396.65
54374,19930.174
54375,41133.633
54376,22189.824
54377,27598.28
54378,26633.781
54379,11297.604
54380,10997.463
54381,61212.35
54382,15643.865
54383,52511.613
54384,26379.63
54385,21077.979
54386,11128.88
54387,15384.446
54388,69533.03
54389,6495.481
54390,63186.945
54391,14952.955
54392,19704.236
54393,29413.426
54394,14484.376
54395,32786.273
54396,48712.81
54397,65250.38
54398,33354.645
54399,60108.883
54400,12971.792
54401,47703.51
54402,17583.637
54403,35218.168
54404,18339.432
54405,15691.499
54406,59030.88
54407,8311.698
54408,39064.02
54409,12098.986
54410,48950.688
54411,16355.697
54412,46361.8
54413,40933.977
54414,23409.447
54415,15850.853
54416,55336.68
54417,12447.47
54418,9985.555
54419,13746.411
54420,66040.24
54421,11192.883
54422,29529.871
54423,14417.397
54424,40544.953
54425,19769.361
54426,16067.887
54427,12898.749
54428,7869.0273
54429,12452.017
54430,13830.66
54431,10417.384
54432,12832.8125
54433,43968.676
54434,34630.723
54435,18050.113
54436,29577.81
54437,14910.591
54438,37414.9
54439,31351.604
54440,29325.62
54441,25856.602
54442,43417.61
54443,24417.096
54444,11328.245
54445,41143.004
54446,22392.01
54447,29094.434
54448,17928.271
54449,10772.171
54450,31972.61
54451,10926.334
54452,10028.461
54453,17831.947
54454,32055.898
54455,12703.886
54456,34572.12
54457,38312.984
54458,17495.936
54459,44482.34
54460,45662.58
54461,7262.13
54462,39063.01
54463,58357.176
54464,16299.936
54465,45461.05
54466,43685.086
54467,38692.062
54468,13317.024
54469,28811.336
54470,14904.393
54471,45618.793
54472,32674.027
54473,19109.715
54474,57037.035
54475,35003.402
54476,22996.504
54477,30681.707
54478,46753.01
54479,26329.992
54480,17685.246
54481,16080.948
54482,25799.775
54483,35412.297
54484,12390.466
54485,32938.27
54486,14967.636
54487,39213.996
54488,7713.9277
54489,15902.787
54490,15422.493
54491,11103.449
54492,43244.957
54493,86630.37
54494,16782.648
54495,40394.316
54496,18628.04
54497,42383.137
54498,66905.11
54499,35509.66
54500,54651.42
54501,16763.836
54502,21247.408
54503,58487.492
54504,22024.85
54505,25511.436
54506,41466.684
54507,53606.535
54508,24124.182
54509,7117.017
54510,43132.184
54511,20223.072
54512,42748.152
54513,18151.354
54514,20664.264
54515,6867.3896
54516,31767.756
54517,8681.385
54518,39227.086
54519,15331.354
54520,12843.428
54521,31365.51
54522,41136.223
54523,36948.477
